,ROWHEADER,Test,ODI,T20,IPL,name,Final_Country,Categorey
4857,50s,0.0,0.0,0.0,0.0,Beuran Hendricks,SouthAfrica,Batting
4858,100s,0.0,0.0,0.0,0.0,Beuran Hendricks,SouthAfrica,Batting
4859,200s,0.0,0.0,0.0,0.0,Beuran Hendricks,SouthAfrica,Batting
4860,300s,0.0,0.0,0.0,0.0,Beuran Hendricks,SouthAfrica,Batting
4861,400s,0.0,0.0,0.0,0.0,Beuran Hendricks,SouthAfrica,Batting
4862,Matches,47.0,198.0,122.0,13.0,Martin Guptill,NewZealand,Batting
4863,Innings,89.0,195.0,118.0,13.0,Martin Guptill,NewZealand,Batting
4864,Runs,2586.0,7346.0,3531.0,270.0,Martin Guptill,NewZealand,Batting
4865,Balls,5548.0,8414.0,2602.0,196.0,Martin Guptill,NewZealand,Batting
4866,Highest,189.0,237.0,105.0,50.0,Martin Guptill,NewZealand,Batting
4867,Average,29.39,41.5,31.81,22.5,Martin Guptill,NewZealand,Batting
4868,SR,46.62,87.31,135.71,137.76,Martin Guptill,NewZealand,Batting
4869,Not Out,1.0,18.0,7.0,1.0,Martin Guptill,NewZealand,Batting
4870,Fours,326.0,751.0,310.0,24.0,Martin Guptill,NewZealand,Batting
4871,Sixes,23.0,187.0,173.0,15.0,Martin Guptill,NewZealand,Batting
4872,Ducks,10.0,16.0,3.0,1.0,Martin Guptill,NewZealand,Batting
4873,50s,17.0,39.0,20.0,1.0,Martin Guptill,NewZealand,Batting
4874,100s,3.0,18.0,2.0,0.0,Martin Guptill,NewZealand,Batting
4875,200s,0.0,1.0,0.0,0.0,Martin Guptill,NewZealand,Batting
4876,300s,0.0,0.0,0.0,0.0,Martin Guptill,NewZealand,Batting
4877,400s,0.0,0.0,0.0,0.0,Martin Guptill,NewZealand,Batting
4878,Matches,112.0,236.0,102.0,55.0,Ross Taylor,NewZealand,Batting
4879,Innings,196.0,220.0,94.0,54.0,Ross Taylor,NewZealand,Batting
4880,Runs,7684.0,8602.0,1909.0,1017.0,Ross Taylor,NewZealand,Batting
4881,Balls,12957.0,10331.0,1560.0,822.0,Ross Taylor,NewZealand,Batting
4882,Highest,290.0,181.0,63.0,81.0,Ross Taylor,NewZealand,Batting
4883,Average,44.16,47.52,25.45,25.43,Ross Taylor,NewZealand,Batting
4884,SR,59.31,83.27,122.38,123.73,Ross Taylor,NewZealand,Batting
4885,Not Out,22.0,39.0,19.0,14.0,Ross Taylor,NewZealand,Batting
4886,Fours,932.0,712.0,122.0,66.0,Ross Taylor,NewZealand,Batting
4887,Sixes,55.0,147.0,71.0,46.0,Ross Taylor,NewZealand,Batting
4888,Ducks,14.0,9.0,6.0,3.0,Ross Taylor,NewZealand,Batting
4889,50s,35.0,51.0,7.0,3.0,Ross Taylor,NewZealand,Batting
4890,100s,19.0,21.0,0.0,0.0,Ross Taylor,NewZealand,Batting
4891,200s,3.0,0.0,0.0,0.0,Ross Taylor,NewZealand,Batting
4892,300s,0.0,0.0,0.0,0.0,Ross Taylor,NewZealand,Batting
4893,400s,0.0,0.0,0.0,0.0,Ross Taylor,NewZealand,Batting
4894,Matches,105.0,173.0,93.0,79.0,Kane Williamson,NewZealand,Batting
4895,Innings,186.0,165.0,90.0,77.0,Kane Williamson,NewZealand,Batting
4896,Runs,9276.0,7236.0,2575.0,2128.0,Kane Williamson,NewZealand,Batting
4897,Balls,17913.0,8853.0,2094.0,1694.0,Kane Williamson,NewZealand,Batting
4898,Highest,251.0,148.0,95.0,89.0,Kane Williamson,NewZealand,Batting
4899,Average,54.89,48.89,33.01,35.47,Kane Williamson,NewZealand,Batting
4900,SR,51.79,81.74,122.98,125.62,Kane Williamson,NewZealand,Batting
4901,Not Out,17.0,17.0,12.0,17.0,Kane Williamson,NewZealand,Batting
4902,Fours,1031.0,666.0,245.0,185.0,Kane Williamson,NewZealand,Batting
4903,Sixes,27.0,60.0,58.0,64.0,Kane Williamson,NewZealand,Batting
4904,Ducks,11.0,5.0,4.0,2.0,Kane Williamson,NewZealand,Batting
4905,50s,37.0,47.0,18.0,18.0,Kane Williamson,NewZealand,Batting
4906,100s,33.0,15.0,0.0,0.0,Kane Williamson,NewZealand,Batting
4907,200s,6.0,0.0,0.0,0.0,Kane Williamson,NewZealand,Batting
4908,300s,0.0,0.0,0.0,0.0,Kane Williamson,NewZealand,Batting
4909,400s,0.0,0.0,0.0,0.0,Kane Williamson,NewZealand,Batting
4910,Matches,1.0,57.0,65.0,13.0,Colin Munro,NewZealand,Batting
4911,Innings,2.0,53.0,62.0,12.0,Colin Munro,NewZealand,Batting
4912,Runs,15.0,1271.0,1724.0,177.0,Colin Munro,NewZealand,Batting
4913,Balls,26.0,1214.0,1102.0,141.0,Colin Munro,NewZealand,Batting
4914,Highest,15.0,87.0,109.0,40.0,Colin Munro,NewZealand,Batting
4915,Average,7.5,24.92,31.35,14.75,Colin Munro,NewZealand,Batting
4916,SR,57.7,104.7,156.45,125.54,Colin Munro,NewZealand,Batting
4917,Not Out,0.0,2.0,7.0,0.0,Colin Munro,NewZealand,Batting
4918,Fours,3.0,137.0,132.0,19.0,Colin Munro,NewZealand,Batting
4919,Sixes,0.0,36.0,107.0,8.0,Colin Munro,NewZealand,Batting
4920,Ducks,1.0,7.0,5.0,2.0,Colin Munro,NewZealand,Batting
4921,50s,0.0,8.0,11.0,0.0,Colin Munro,NewZealand,Batting
4922,100s,0.0,0.0,3.0,0.0,Colin Munro,NewZealand,Batting
4923,200s,0.0,0.0,0.0,0.0,Colin Munro,NewZealand,Batting
4924,300s,0.0,0.0,0.0,0.0,Colin Munro,NewZealand,Batting
4925,400s,0.0,0.0,0.0,0.0,Colin Munro,NewZealand,Batting
4926,Matches,56.0,81.0,10.0,0.0,Henry Nicholls,NewZealand,Batting
4927,Innings,87.0,79.0,9.0,0.0,Henry Nicholls,NewZealand,Batting
4928,Runs,2973.0,2180.0,100.0,0.0,Henry Nicholls,NewZealand,Batting
4929,Balls,5922.0,2713.0,112.0,0.0,Henry Nicholls,NewZealand,Batting
4930,Highest,200.0,124.0,36.0,0.0,Henry Nicholls,NewZealand,Batting
4931,Average,37.16,34.6,12.5,0.0,Henry Nicholls,NewZealand,Batting
4932,SR,50.21,80.36,89.29,0.0,Henry Nicholls,NewZealand,Batting
4933,Not Out,7.0,16.0,1.0,0.0,Henry Nicholls,NewZealand,Batting
4934,Fours,322.0,198.0,9.0,0.0,Henry Nicholls,NewZealand,Batting
4935,Sixes,9.0,19.0,0.0,0.0,Henry Nicholls,NewZealand,Batting
4936,Ducks,6.0,6.0,0.0,0.0,Henry Nicholls,NewZealand,Batting
4937,50s,12.0,15.0,0.0,0.0,Henry Nicholls,NewZealand,Batting
4938,100s,9.0,1.0,0.0,0.0,Henry Nicholls,NewZealand,Batting
4939,200s,1.0,0.0,0.0,0.0,Henry Nicholls,NewZealand,Batting
4940,300s,0.0,0.0,0.0,0.0,Henry Nicholls,NewZealand,Batting
4941,400s,0.0,0.0,0.0,0.0,Henry Nicholls,NewZealand,Batting
4942,Matches,12.0,76.0,83.0,14.0,James Neesham,NewZealand,Batting
4943,Innings,22.0,65.0,66.0,10.0,James Neesham,NewZealand,Batting
4944,Runs,709.0,1495.0,955.0,92.0,James Neesham,NewZealand,Batting
4945,Balls,1069.0,1496.0,627.0,93.0,James Neesham,NewZealand,Batting
4946,Highest,137.0,97.0,48.0,22.0,James Neesham,NewZealand,Batting
4947,Average,33.76,28.21,21.22,10.22,James Neesham,NewZealand,Batting
4948,SR,66.33,99.94,152.32,98.93,James Neesham,NewZealand,Batting
4949,Not Out,1.0,12.0,21.0,1.0,James Neesham,NewZealand,Batting
4950,Fours,88.0,128.0,73.0,6.0,James Neesham,NewZealand,Batting
4951,Sixes,11.0,38.0,51.0,2.0,James Neesham,NewZealand,Batting
4952,Ducks,2.0,3.0,6.0,2.0,James Neesham,NewZealand,Batting
4953,50s,4.0,7.0,0.0,0.0,James Neesham,NewZealand,Batting
4954,100s,2.0,0.0,0.0,0.0,James Neesham,NewZealand,Batting
4955,200s,0.0,0.0,0.0,0.0,James Neesham,NewZealand,Batting
4956,300s,0.0,0.0,0.0,0.0,James Neesham,NewZealand,Batting
4957,400s,0.0,0.0,0.0,0.0,James Neesham,NewZealand,Batting
4958,Matches,29.0,45.0,41.0,25.0,Colin de Grandhomme,NewZealand,Batting
4959,Innings,44.0,35.0,39.0,21.0,Colin de Grandhomme,NewZealand,Batting
4960,Runs,1432.0,742.0,503.0,303.0,Colin de Grandhomme,NewZealand,Batting
4961,Balls,1780.0,699.0,365.0,225.0,Colin de Grandhomme,NewZealand,Batting
4962,Highest,120.0,74.0,59.0,40.0,Colin de Grandhomme,NewZealand,Batting
4963,Average,38.7,26.5,15.72,18.94,Colin de Grandhomme,NewZealand,Batting
4964,SR,80.45,106.16,137.81,134.67,Colin de Grandhomme,NewZealand,Batting
4965,Not Out,7.0,7.0,7.0,5.0,Colin de Grandhomme,NewZealand,Batting
4966,Fours,141.0,58.0,27.0,18.0,Colin de Grandhomme,NewZealand,Batting
4967,Sixes,41.0,29.0,30.0,18.0,Colin de Grandhomme,NewZealand,Batting
4968,Ducks,6.0,2.0,6.0,3.0,Colin de Grandhomme,NewZealand,Batting
4969,50s,8.0,4.0,3.0,0.0,Colin de Grandhomme,NewZealand,Batting
4970,100s,2.0,0.0,0.0,0.0,Colin de Grandhomme,NewZealand,Batting
4971,200s,0.0,0.0,0.0,0.0,Colin de Grandhomme,NewZealand,Batting
4972,300s,0.0,0.0,0.0,0.0,Colin de Grandhomme,NewZealand,Batting
4973,400s,0.0,0.0,0.0,0.0,Colin de Grandhomme,NewZealand,Batting
4974,Matches,30.0,118.0,109.0,24.0,Mitchell Santner,NewZealand,Batting
4975,Innings,43.0,86.0,74.0,15.0,Mitchell Santner,NewZealand,Batting
4976,Runs,1066.0,1438.0,725.0,109.0,Mitchell Santner,NewZealand,Batting
4977,Balls,2270.0,1584.0,603.0,99.0,Mitchell Santner,NewZealand,Batting
4978,Highest,126.0,67.0,77.0,22.0,Mitchell Santner,NewZealand,Batting
4979,Average,26.0,26.15,16.86,13.63,Mitchell Santner,NewZealand,Batting
4980,SR,46.97,90.79,120.24,110.11,Mitchell Santner,NewZealand,Batting
4981,Not Out,2.0,31.0,31.0,7.0,Mitchell Santner,NewZealand,Batting
4982,Fours,119.0,105.0,55.0,6.0,Mitchell Santner,NewZealand,Batting
4983,Sixes,32.0,41.0,24.0,6.0,Mitchell Santner,NewZealand,Batting
4984,Ducks,3.0,3.0,5.0,1.0,Mitchell Santner,NewZealand,Batting
4985,50s,4.0,3.0,1.0,0.0,Mitchell Santner,NewZealand,Batting
4986,100s,1.0,0.0,0.0,0.0,Mitchell Santner,NewZealand,Batting
4987,200s,0.0,0.0,0.0,0.0,Mitchell Santner,NewZealand,Batting
4988,300s,0.0,0.0,0.0,0.0,Mitchell Santner,NewZealand,Batting
4989,400s,0.0,0.0,0.0,0.0,Mitchell Santner,NewZealand,Batting
4990,Matches,88.0,157.0,26.0,0.0,Tom Latham,NewZealand,Batting
4991,Innings,158.0,144.0,23.0,0.0,Tom Latham,NewZealand,Batting
4992,Runs,5835.0,4361.0,516.0,0.0,Tom Latham,NewZealand,Batting
4993,Balls,12283.0,5090.0,474.0,0.0,Tom Latham,NewZealand,Batting
4994,Highest,264.0,145.0,65.0,0.0,Tom Latham,NewZealand,Batting
4995,Average,38.39,34.61,25.8,0.0,Tom Latham,NewZealand,Batting
4996,SR,47.51,85.68,108.87,0.0,Tom Latham,NewZealand,Batting
4997,Not Out,6.0,18.0,3.0,0.0,Tom Latham,NewZealand,Batting
4998,Fours,665.0,364.0,42.0,0.0,Tom Latham,NewZealand,Batting
4999,Sixes,19.0,60.0,8.0,0.0,Tom Latham,NewZealand,Batting
5000,Ducks,13.0,14.0,1.0,0.0,Tom Latham,NewZealand,Batting
5001,50s,31.0,26.0,3.0,0.0,Tom Latham,NewZealand,Batting
5002,100s,13.0,8.0,0.0,0.0,Tom Latham,NewZealand,Batting
5003,200s,2.0,0.0,0.0,0.0,Tom Latham,NewZealand,Batting
5004,300s,0.0,0.0,0.0,0.0,Tom Latham,NewZealand,Batting
5005,400s,0.0,0.0,0.0,0.0,Tom Latham,NewZealand,Batting
5006,Matches,40.0,12.0,9.0,0.0,Tom Blundell,NewZealand,Batting
5007,Innings,69.0,12.0,8.0,0.0,Tom Blundell,NewZealand,Batting
5008,Runs,2138.0,266.0,91.0,0.0,Tom Blundell,NewZealand,Batting
5009,Balls,4013.0,307.0,94.0,0.0,Tom Blundell,NewZealand,Batting
5010,Highest,138.0,68.0,30.0,0.0,Tom Blundell,NewZealand,Batting
5011,Average,34.48,29.56,15.17,0.0,Tom Blundell,NewZealand,Batting
5012,SR,53.28,86.65,96.81,0.0,Tom Blundell,NewZealand,Batting
5013,Not Out,7.0,3.0,2.0,0.0,Tom Blundell,NewZealand,Batting
5014,Fours,259.0,28.0,10.0,0.0,Tom Blundell,NewZealand,Batting
5015,Sixes,16.0,2.0,0.0,0.0,Tom Blundell,NewZealand,Batting
5016,Ducks,6.0,0.0,0.0,0.0,Tom Blundell,NewZealand,Batting
5017,50s,11.0,2.0,0.0,0.0,Tom Blundell,NewZealand,Batting
5018,100s,5.0,0.0,0.0,0.0,Tom Blundell,NewZealand,Batting
5019,200s,0.0,0.0,0.0,0.0,Tom Blundell,NewZealand,Batting
5020,300s,0.0,0.0,0.0,0.0,Tom Blundell,NewZealand,Batting
5021,400s,0.0,0.0,0.0,0.0,Tom Blundell,NewZealand,Batting
5022,Matches,78.0,114.0,61.0,109.0,Trent Boult,NewZealand,Batting
5023,Innings,94.0,52.0,15.0,29.0,Trent Boult,NewZealand,Batting
5024,Runs,759.0,216.0,58.0,85.0,Trent Boult,NewZealand,Batting
5025,Balls,1264.0,279.0,64.0,81.0,Trent Boult,NewZealand,Batting
5026,Highest,52.0,21.0,16.0,17.0,Trent Boult,NewZealand,Batting
5027,Average,15.81,9.0,8.29,9.44,Trent Boult,NewZealand,Batting
5028,SR,60.05,77.42,90.63,104.94,Trent Boult,NewZealand,Batting
5029,Not Out,46.0,28.0,8.0,20.0,Trent Boult,NewZealand,Batting
5030,Fours,82.0,20.0,3.0,5.0,Trent Boult,NewZealand,Batting
5031,Sixes,30.0,7.0,2.0,3.0,Trent Boult,NewZealand,Batting
5032,Ducks,13.0,2.0,1.0,3.0,Trent Boult,NewZealand,Batting
5033,50s,1.0,0.0,0.0,0.0,Trent Boult,NewZealand,Batting
5034,100s,0.0,0.0,0.0,0.0,Trent Boult,NewZealand,Batting
5035,200s,0.0,0.0,0.0,0.0,Trent Boult,NewZealand,Batting
5036,300s,0.0,0.0,0.0,0.0,Trent Boult,NewZealand,Batting
5037,400s,0.0,0.0,0.0,0.0,Trent Boult,NewZealand,Batting
5038,Matches,30.0,91.0,21.0,6.0,Matt Henry,NewZealand,Batting
5039,Innings,42.0,38.0,7.0,0.0,Matt Henry,NewZealand,Batting
5040,Runs,649.0,270.0,24.0,0.0,Matt Henry,NewZealand,Batting
5041,Balls,834.0,290.0,27.0,0.0,Matt Henry,NewZealand,Batting
5042,Highest,72.0,48.0,12.0,0.0,Matt Henry,NewZealand,Batting
5043,Average,18.03,10.38,6.0,0.0,Matt Henry,NewZealand,Batting
5044,SR,77.82,93.11,88.89,0.0,Matt Henry,NewZealand,Batting
5045,Not Out,6.0,12.0,3.0,0.0,Matt Henry,NewZealand,Batting
5046,Fours,87.0,22.0,2.0,0.0,Matt Henry,NewZealand,Batting
5047,Sixes,20.0,11.0,1.0,0.0,Matt Henry,NewZealand,Batting
5048,Ducks,9.0,7.0,1.0,0.0,Matt Henry,NewZealand,Batting
5049,50s,4.0,0.0,0.0,0.0,Matt Henry,NewZealand,Batting
5050,100s,0.0,0.0,0.0,0.0,Matt Henry,NewZealand,Batting
5051,200s,0.0,0.0,0.0,0.0,Matt Henry,NewZealand,Batting
5052,300s,0.0,0.0,0.0,0.0,Matt Henry,NewZealand,Batting
5053,400s,0.0,0.0,0.0,0.0,Matt Henry,NewZealand,Batting
5054,Matches,107.0,161.0,125.0,54.0,Tim Southee,NewZealand,Batting
5055,Innings,155.0,96.0,50.0,20.0,Tim Southee,NewZealand,Batting
5056,Runs,2245.0,742.0,303.0,120.0,Tim Southee,NewZealand,Batting
5057,Balls,2715.0,771.0,218.0,107.0,Tim Southee,NewZealand,Batting
5058,Highest,77.0,55.0,39.0,36.0,Tim Southee,NewZealand,Batting
5059,Average,15.48,12.16,11.22,9.23,Tim Southee,NewZealand,Batting
5060,SR,82.69,96.24,139.0,112.15,Tim Southee,NewZealand,Batting
5061,Not Out,10.0,35.0,23.0,7.0,Tim Southee,NewZealand,Batting
5062,Fours,215.0,59.0,20.0,8.0,Tim Southee,NewZealand,Batting
5063,Sixes,98.0,26.0,18.0,4.0,Tim Southee,NewZealand,Batting
5064,Ducks,21.0,13.0,6.0,3.0,Tim Southee,NewZealand,Batting
5065,50s,7.0,1.0,0.0,0.0,Tim Southee,NewZealand,Batting
5066,100s,0.0,0.0,0.0,0.0,Tim Southee,NewZealand,Batting
5067,200s,0.0,0.0,0.0,0.0,Tim Southee,NewZealand,Batting
5068,300s,0.0,0.0,0.0,0.0,Tim Southee,NewZealand,Batting
5069,400s,0.0,0.0,0.0,0.0,Tim Southee,NewZealand,Batting
5070,Matches,21.0,54.0,124.0,8.0,Ish Sodhi,NewZealand,Batting
5071,Innings,31.0,26.0,39.0,2.0,Ish Sodhi,NewZealand,Batting
5072,Runs,561.0,210.0,197.0,7.0,Ish Sodhi,NewZealand,Batting
5073,Balls,1194.0,289.0,194.0,17.0,Ish Sodhi,NewZealand,Batting
5074,Highest,65.0,35.0,19.0,6.0,Ish Sodhi,NewZealand,Batting
5075,Average,20.78,9.55,7.3,3.5,Ish Sodhi,NewZealand,Batting
5076,SR,46.99,72.67,101.55,41.18,Ish Sodhi,NewZealand,Batting
5077,Not Out,4.0,4.0,12.0,0.0,Ish Sodhi,NewZealand,Batting
5078,Fours,68.0,8.0,12.0,0.0,Ish Sodhi,NewZealand,Batting
5079,Sixes,7.0,10.0,9.0,0.0,Ish Sodhi,NewZealand,Batting
5080,Ducks,5.0,6.0,6.0,0.0,Ish Sodhi,NewZealand,Batting
5081,50s,4.0,0.0,0.0,0.0,Ish Sodhi,NewZealand,Batting
5082,100s,0.0,0.0,0.0,0.0,Ish Sodhi,NewZealand,Batting
5083,200s,0.0,0.0,0.0,0.0,Ish Sodhi,NewZealand,Batting
5084,300s,0.0,0.0,0.0,0.0,Ish Sodhi,NewZealand,Batting
5085,400s,0.0,0.0,0.0,0.0,Ish Sodhi,NewZealand,Batting
5086,Matches,1.0,65.0,43.0,49.0,Lockie Ferguson,NewZealand,Batting
5087,Innings,2.0,30.0,15.0,11.0,Lockie Ferguson,NewZealand,Batting
5088,Runs,1.0,122.0,29.0,72.0,Lockie Ferguson,NewZealand,Batting
5089,Balls,9.0,235.0,36.0,47.0,Lockie Ferguson,NewZealand,Batting
5090,Highest,1.0,19.0,14.0,24.0,Lockie Ferguson,NewZealand,Batting
5091,Average,0.0,7.18,3.63,24.0,Lockie Ferguson,NewZealand,Batting
5092,SR,11.12,51.92,80.56,153.2,Lockie Ferguson,NewZealand,Batting
5093,Not Out,2.0,13.0,7.0,8.0,Lockie Ferguson,NewZealand,Batting
5094,Fours,0.0,6.0,0.0,7.0,Lockie Ferguson,NewZealand,Batting
5095,Sixes,0.0,3.0,2.0,2.0,Lockie Ferguson,NewZealand,Batting
5096,Ducks,0.0,4.0,4.0,1.0,Lockie Ferguson,NewZealand,Batting
5097,50s,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZealand,Batting
5098,100s,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZealand,Batting
5099,200s,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZealand,Batting
5100,300s,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZealand,Batting
5101,400s,0.0,0.0,0.0,0.0,Lockie Ferguson,NewZealand,Batting
5102,Matches,5.0,146.0,103.0,92.0,Aaron Finch,Australia,Batting
5103,Innings,10.0,142.0,103.0,90.0,Aaron Finch,Australia,Batting
5104,Runs,278.0,5406.0,3120.0,2091.0,Aaron Finch,Australia,Batting
5105,Balls,618.0,6163.0,2189.0,1631.0,Aaron Finch,Australia,Batting
5106,Highest,62.0,153.0,172.0,88.0,Aaron Finch,Australia,Batting
5107,Average,27.8,38.89,34.29,24.89,Aaron Finch,Australia,Batting
5108,SR,44.99,87.72,142.54,128.21,Aaron Finch,Australia,Batting
5109,Not Out,0.0,3.0,12.0,6.0,Aaron Finch,Australia,Batting
5110,Fours,30.0,533.0,309.0,214.0,Aaron Finch,Australia,Batting
5111,Sixes,1.0,129.0,125.0,78.0,Aaron Finch,Australia,Batting
5112,Ducks,1.0,16.0,8.0,8.0,Aaron Finch,Australia,Batting
5113,50s,2.0,30.0,19.0,15.0,Aaron Finch,Australia,Batting
5114,100s,0.0,17.0,2.0,0.0,Aaron Finch,Australia,Batting
5115,200s,0.0,0.0,0.0,0.0,Aaron Finch,Australia,Batting
5116,300s,0.0,0.0,0.0,0.0,Aaron Finch,Australia,Batting
5117,400s,0.0,0.0,0.0,0.0,Aaron Finch,Australia,Batting
5118,Matches,116.0,170.0,67.0,103.0,Steven Smith,Australia,Batting
5119,Innings,206.0,154.0,55.0,93.0,Steven Smith,Australia,Batting
5120,Runs,10271.0,5800.0,1094.0,2485.0,Steven Smith,Australia,Batting
5121,Balls,19176.0,6669.0,872.0,1940.0,Steven Smith,Australia,Batting
5122,Highest,239.0,164.0,90.0,101.0,Steven Smith,Australia,Batting
5123,Average,56.75,43.28,24.86,34.51,Steven Smith,Australia,Batting
5124,SR,53.57,86.97,125.46,128.1,Steven Smith,Australia,Batting
5125,Not Out,25.0,20.0,11.0,21.0,Steven Smith,Australia,Batting
5126,Fours,1116.0,521.0,96.0,225.0,Steven Smith,Australia,Batting
5127,Sixes,61.0,58.0,26.0,60.0,Steven Smith,Australia,Batting
5128,Ducks,11.0,8.0,1.0,1.0,Steven Smith,Australia,Batting
5129,50s,41.0,35.0,5.0,11.0,Steven Smith,Australia,Batting
5130,100s,36.0,12.0,0.0,1.0,Steven Smith,Australia,Batting
5131,200s,4.0,0.0,0.0,0.0,Steven Smith,Australia,Batting
5132,300s,0.0,0.0,0.0,0.0,Steven Smith,Australia,Batting
5133,400s,0.0,0.0,0.0,0.0,Steven Smith,Australia,Batting
5134,Matches,112.0,161.0,110.0,184.0,David Warner,Australia,Batting
5135,Innings,205.0,159.0,110.0,184.0,David Warner,Australia,Batting
5136,Runs,8786.0,6932.0,3277.0,6565.0,David Warner,Australia,Batting
5137,Balls,12516.0,7127.0,2300.0,4697.0,David Warner,Australia,Batting
5138,Highest,335.0,179.0,100.0,126.0,David Warner,Australia,Batting
5139,Average,44.6,45.01,33.44,40.52,David Warner,Australia,Batting
5140,SR,70.2,97.27,142.48,139.78,David Warner,Australia,Batting
5141,Not Out,8.0,5.0,12.0,22.0,David Warner,Australia,Batting
5142,Fours,1036.0,733.0,338.0,664.0,David Warner,Australia,Batting
5143,Sixes,69.0,130.0,122.0,235.0,David Warner,Australia,Batting
5144,Ducks,13.0,4.0,6.0,11.0,David Warner,Australia,Batting
5145,50s,37.0,33.0,28.0,62.0,David Warner,Australia,Batting
5146,100s,26.0,22.0,1.0,4.0,David Warner,Australia,Batting
5147,200s,3.0,0.0,0.0,0.0,David Warner,Australia,Batting
5148,300s,1.0,0.0,0.0,0.0,David Warner,Australia,Batting
5149,400s,0.0,0.0,0.0,0.0,David Warner,Australia,Batting
5150,Matches,57.0,63.0,1.0,0.0,Marnus Labuschagne,Australia,Batting
5151,Innings,102.0,56.0,1.0,0.0,Marnus Labuschagne,Australia,Batting
5152,Runs,4396.0,1869.0,2.0,0.0,Marnus Labuschagne,Australia,Batting
5153,Balls,8463.0,2228.0,4.0,0.0,Marnus Labuschagne,Australia,Batting
5154,Highest,215.0,124.0,2.0,0.0,Marnus Labuschagne,Australia,Batting
5155,Average,46.77,35.94,2.0,0.0,Marnus Labuschagne,Australia,Batting
5156,SR,51.95,83.89,50.0,0.0,Marnus Labuschagne,Australia,Batting
5157,Not Out,8.0,4.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5158,Fours,490.0,154.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5159,Sixes,12.0,10.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5160,Ducks,4.0,3.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5161,50s,23.0,12.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5162,100s,11.0,2.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5163,200s,2.0,0.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5164,300s,0.0,0.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5165,400s,0.0,0.0,0.0,0.0,Marnus Labuschagne,Australia,Batting
5166,Matches,23.0,6.0,5.0,0.0,Joe Burns,Australia,Batting
5167,Innings,40.0,6.0,5.0,0.0,Joe Burns,Australia,Batting
5168,Runs,1442.0,146.0,211.0,0.0,Joe Burns,Australia,Batting
5169,Balls,2557.0,184.0,146.0,0.0,Joe Burns,Australia,Batting
5170,Highest,180.0,69.0,108.0,0.0,Joe Burns,Australia,Batting
5171,Average,36.97,24.33,70.33,0.0,Joe Burns,Australia,Batting
5172,SR,56.4,79.35,144.53,0.0,Joe Burns,Australia,Batting
5173,Not Out,1.0,0.0,2.0,0.0,Joe Burns,Australia,Batting
5174,Fours,183.0,16.0,18.0,0.0,Joe Burns,Australia,Batting
5175,Sixes,14.0,1.0,9.0,0.0,Joe Burns,Australia,Batting
5176,Ducks,6.0,1.0,1.0,0.0,Joe Burns,Australia,Batting
5177,50s,7.0,1.0,1.0,0.0,Joe Burns,Australia,Batting
5178,100s,4.0,0.0,1.0,0.0,Joe Burns,Australia,Batting
5179,200s,0.0,0.0,0.0,0.0,Joe Burns,Australia,Batting
5180,300s,0.0,0.0,0.0,0.0,Joe Burns,Australia,Batting
5181,400s,0.0,0.0,0.0,0.0,Joe Burns,Australia,Batting
5182,Matches,1.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5183,Innings,2.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5184,Runs,72.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5185,Balls,126.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5186,Highest,62.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5187,Average,36.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5188,SR,57.15,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5189,Not Out,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5190,Fours,6.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5191,Sixes,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5192,Ducks,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5193,50s,1.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5194,100s,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5195,200s,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5196,300s,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5197,400s,0.0,0.0,0.0,0.0,Will Pucovski,Australia,Batting
5198,Matches,56.0,73.0,38.0,31.0,Travis Head,Australia,Batting
5199,Innings,93.0,70.0,37.0,31.0,Travis Head,Australia,Batting
5200,Runs,3719.0,2767.0,1093.0,986.0,Travis Head,Australia,Batting
5201,Balls,5472.0,2638.0,681.0,559.0,Travis Head,Australia,Batting
